codigo,nome,unidade,material,maoDeObra,total
30.105.000617.SER,"Boca em concreto para galeria tubular Ø 0.4 m normal",un,367.19,219.16,586.35
30.105.000619.SER,"Boca em concreto para galeria tubular Ø 0.6 m esconsa a 15°",un,626.26,379.76,1006.02
30.105.000621.SER,"Boca em concreto para galeria tubular Ø 0.6 m esconsa a 30°",un,702.43,424.06,1126.49
30.105.000623.SER,"Boca em concreto para galeria tubular Ø 0.6 m esconsa a 45°",un,876.81,523.47,1400.28
30.105.000625.SER,"Boca em concreto para galeria tubular Ø 0.6 m normal",un,593.89,361.19,955.08
30.105.000627.SER,"Boca em concreto para galeria tubular Ø 0.8 m esconsa a 15°",un,1100.81,605.38,1706.19
30.105.000629.SER,"Boca em concreto para galeria tubular Ø 0.8 m esconsa a 30°",un,1229.61,673.98,1903.59
30.105.000631.SER,"Boca em concreto para galeria tubular Ø 0.8 m esconsa a 45°",un,1539.88,833.42,2373.30
30.105.000633.SER,"Boca em concreto para galeria tubular Ø 0.8 m normal",un,1043.06,575.33,1618.39
30.105.000635.SER,"Boca em concreto para galeria tubular Ø 1.0 m esconsa a 15°",un,1766.47,897.78,2664.25
30.105.000637.SER,"Boca em concreto para galeria tubular Ø 1.0 m esconsa a 30°",un,1971.38,997.92,2969.30
30.105.000639.SER,"Boca em concreto para galeria tubular Ø 1.0 m esconsa a 45°",un,2469.42,1235.21,3704.63
30.105.000641.SER,"Boca em concreto para galeria tubular Ø 1.0 m normal",un,1679.27,855.92,2535.19
30.105.000643.SER,"Boca em concreto para galeria tubular Ø 1.2 m esconsa a 15°",un,2653.42,1255.70,3909.13
30.105.000645.SER,"Boca em concreto para galeria tubular Ø 1.2 m esconsa a 30°",un,2975.30,1400.29,4375.60
30.105.000647.SER,"Boca em concreto para galeria tubular Ø 1.2 m esconsa a 45°",un,3732.60,1733.22,5465.82
30.105.000649.SER,"Boca em concreto para galeria tubular Ø 1.2 m normal",un,2514.76,1194.71,3709.47
30.105.000651.SER,"Boca em concreto para galeria tubular Ø 1.5 m esconsa a 15°",un,5013.30,2163.99,7177.29
30.105.000653.SER,"Boca em concreto para galeria tubular Ø 1.5 m esconsa a 30°",un,5632.24,2418.29,8050.54
30.105.000655.SER,"Boca em concreto para galeria tubular Ø 1.5 m esconsa a 45°",un,7105.21,3011.71,10116.92
30.105.000657.SER,"Boca em concreto para galeria tubular Ø 1.5 m normal",un,4746.45,2055.21,6801.66
30.105.000711.SER,"Boca em concreto para galeria tubular dupla Ø 0.8 m esconsa a 15°",un,1554.34,832.46,2386.80
30.105.000713.SER,"Boca em concreto para galeria tubular dupla Ø 0.8 m esconsa a 30°",un,1740.97,932.43,2673.40
30.105.000715.SER,"Boca em concreto para galeria tubular dupla Ø 0.8 m esconsa a 45°",un,2174.08,1165.45,3339.53
30.105.000717.SER,"Boca em concreto para galeria tubular dupla Ø 0.8 m normal",un,1480.41,792.84,2273.25
30.105.000719.SER,"Boca em concreto para galeria tubular dupla Ø 1.0 m esconsa a 15°",un,2495.06,1232.89,3727.95
